proddate;idno;cntry;dweight;stflife;health;dosprt;gndr
20.11.2024;57090;AT;1.3094236;10;2;7;2
20.11.2024;57129;AT;0.5797645;5;3;7;1
20.11.2024;57166;AT;0.55908823;9;1;6;2
20.11.2024;57169;AT;2.2958236;8;2;3;1
20.11.2024;57182;AT;2.161271;8;1;5;1
20.11.2024;57232;AT;1.6681842;9;2;0;1
20.11.2024;57251;AT;0.90939933;8;2;7;1
20.11.2024;57261;AT;0.8700288;8;3;0;1
20.11.2024;57264;AT;0.680678;9;1;7;2
20.11.2024;57285;AT;0.99414355;10;2;7;2
20.11.2024;57334;AT;2.0988665;7;2;2;2
20.11.2024;57348;AT;0.43594596;5;3;1;2
20.11.2024;57354;AT;0.573956;8;1;4;2
20.11.2024;57360;AT;1.8199416;8;2;3;1
20.11.2024;57365;AT;0.60989803;9;2;2;1
20.11.2024;57367;AT;1.9283032;8;3;2;1
20.11.2024;57387;AT;0.919781;10;2;7;1
20.11.2024;57390;AT;0.5403178;8;1;4;1
20.11.2024;57396;AT;0.4820758;7;3;4;2
20.11.2024;57400;AT;0.6494271;4;3;7;2
20.11.2024;57402;AT;0.60989815;7;2;5;1
20.11.2024;57406;AT;2.224246;7;1;7;2
20.11.2024;57412;AT;0.49317867;9;2;2;1
20.11.2024;57417;AT;1.839562;8;2;2;1
20.11.2024;57476;AT;1.0828215;8;3;7;1
20.11.2024;57492;AT;1.4293895;5;2;7;2
20.11.2024;57498;AT;1.1636361;8;2;5;1
20.11.2024;57509;AT;0.7803352;5;4;5;2
20.11.2024;57522;AT;1.5571986;10;3;4;1
20.11.2024;57554;AT;1.448848;8;2;6;1
20.11.2024;57586;AT;1.3096625;9;1;7;2
20.11.2024;57589;AT;0.46543378;9;1;1;2
20.11.2024;57607;AT;1.0828215;9;1;3;1
20.11.2024;57640;AT;1.6793709;8;1;3;2
20.11.2024;57661;AT;1.159529;9;1;5;2
20.11.2024;57662;AT;0.8567194;9;1;6;2
20.11.2024;57678;AT;1.9396266;9;2;2;1
20.11.2024;57682;AT;0.3775131;8;2;3;2
20.11.2024;57692;AT;1.2342038;8;2;6;1
20.11.2024;57726;AT;0.52560955;8;3;0;2
20.11.2024;57727;AT;3.0025322;10;1;4;1
20.11.2024;57737;AT;1.2197962;10;2;0;2
20.11.2024;57738;AT;0.65053284;7;4;0;2
20.11.2024;57773;AT;0.36139765;8;2;4;1
20.11.2024;57775;AT;0.53681755;8;2;3;2
20.11.2024;57784;AT;0.92821974;7;4;0;1
20.11.2024;57792;AT;1.361356;9;2;4;1
20.11.2024;57918;AT;0.99821126;7;2;3;2
20.11.2024;57930;AT;1.9501988;9;1;0;2
20.11.2024;57947;AT;1.7134386;8;2;3;1
20.11.2024;57951;AT;0.4820758;7;3;1;2
20.11.2024;57955;AT;1.5546271;10;1;2;2
20.11.2024;57978;AT;0.54072493;9;2;5;1
20.11.2024;57992;AT;1.3608531;9;1;4;2
20.11.2024;57995;AT;0.38490957;9;2;5;1
20.11.2024;57999;AT;0.87345386;9;2;5;2
20.11.2024;58013;AT;0.7438183;10;2;7;2
20.11.2024;58021;AT;1.073635;8;2;2;2
20.11.2024;58026;AT;0.87189186;9;3;0;1
20.11.2024;58064;AT;0.7227953;8;2;3;1
20.11.2024;58066;AT;1.1813571;10;1;5;2
20.11.2024;58092;AT;0.55908823;8;2;0;2
20.11.2024;58093;AT;0.9137663;7;3;2;2
20.11.2024;58125;AT;0.8320375;5;3;0;2
20.11.2024;58127;AT;1.2219335;5;2;7;1
20.11.2024;58132;AT;1.3294271;9;1;6;1
20.11.2024;58149;AT;0.3912094;6;2;1;2
20.11.2024;58152;AT;0.42728814;6;3;0;2
20.11.2024;58153;AT;0.88628477;9;2;7;2
20.11.2024;58171;AT;0.9641516;9;1;2;2
20.11.2024;58177;AT;0.3849096;7;3;2;2
20.11.2024;58187;AT;2.0973427;10;3;0;1
20.11.2024;58226;AT;1.8490484;9;1;6;2
20.11.2024;58238;AT;0.55606145;9;2;2;1
20.11.2024;58247;AT;0.36139765;8;2;1;2
20.11.2024;58262;AT;0.7698192;6;2;0;2
20.11.2024;58270;AT;0.5797645;8;1;5;2
20.11.2024;58293;AT;1.3870435;8;1;7;1
20.11.2024;58310;AT;1.2718351;8;2;7;2
20.11.2024;58317;AT;1.658749;8;1;3;1
20.11.2024;58341;AT;1.2546624;10;1;0;1
20.11.2024;58346;AT;1.2931796;9;1;7;1
20.11.2024;58355;AT;1.3709402;8;2;3;1
20.11.2024;58369;AT;0.6098981;5;3;1;1
20.11.2024;58416;AT;1.9006141;8;3;3;2
20.11.2024;58417;AT;0.9137663;4;4;3;1
20.11.2024;58441;AT;0.9658987;7;2;7;2
